"","X","id","Gender","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","satisfaction"
"1",0,19556,"Female","Loyal Customer",52,"Business travel","Eco",160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44,"satisfied"
"2",1,90035,"Female","Loyal Customer",36,"Business travel","Business",2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,"satisfied"
"4",3,77959,"Male","Loyal Customer",44,"Business travel","Business",3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6,"satisfied"
"5",4,36875,"Female","Loyal Customer",49,"Business travel","Eco",1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20,"satisfied"
"6",5,39177,"Male","Loyal Customer",16,"Business travel","Eco",311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0,"satisfied"
"9",8,27508,"Male","Loyal Customer",47,"Business travel","Eco",556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0,"satisfied"
"10",9,62482,"Female","Loyal Customer",46,"Business travel","Business",1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14,"satisfied"
"11",10,47583,"Female","Loyal Customer",47,"Business travel","Eco",1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19,"satisfied"
"12",11,115550,"Female","Loyal Customer",33,"Business travel","Business",325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7,"neutral or dissatisfied"
"13",12,119987,"Female","Loyal Customer",46,"Business travel","Business",1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,"satisfied"
"16",15,22470,"Male","Loyal Customer",50,"Personal Travel","Eco",83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2,"neutral or dissatisfied"
"17",16,124915,"Female","Loyal Customer",31,"Business travel","Eco",728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,"neutral or dissatisfied"
"20",19,64287,"Female","Loyal Customer",50,"Business travel","Business",3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,"satisfied"
"21",20,63995,"Male","Loyal Customer",60,"Business travel","Business",612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49,"satisfied"
"22",21,75855,"Male","Loyal Customer",43,"Personal Travel","Eco",1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0,"neutral or dissatisfied"
"23",22,106181,"Male","Loyal Customer",55,"Personal Travel","Eco",302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,"neutral or dissatisfied"
"24",23,44304,"Male","Loyal Customer",25,"Business travel","Business",1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,"satisfied"
"25",24,82602,"Female","disloyal Customer",30,"Business travel","Eco",528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,"neutral or dissatisfied"
"26",25,7823,"Male","Loyal Customer",62,"Personal Travel","Eco",710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,"neutral or dissatisfied"
"27",26,127781,"Male","Loyal Customer",24,"Business travel","Business",3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,"satisfied"
"28",27,34501,"Female","Loyal Customer",22,"Business travel","Eco",1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,"satisfied"
"30",29,20219,"Male","Loyal Customer",51,"Business travel","Eco",235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,"neutral or dissatisfied"
"31",30,67551,"Male","Loyal Customer",43,"Personal Travel","Business",1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,"neutral or dissatisfied"
"32",31,48994,"Female","Loyal Customer",56,"Business travel","Eco",308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,"satisfied"
"33",32,70811,"Male","disloyal Customer",41,"Business travel","Eco",624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,"neutral or dissatisfied"
"34",33,75241,"Male","Loyal Customer",22,"Personal Travel","Eco",1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,"neutral or dissatisfied"
"35",34,12312,"Female","Loyal Customer",53,"Business travel","Eco",192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,"satisfied"
"36",35,48372,"Male","Loyal Customer",12,"Personal Travel","Eco",674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,"neutral or dissatisfied"
"37",36,51477,"Female","Loyal Customer",39,"Business travel","Business",370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,"satisfied"
"39",38,70990,"Female","disloyal Customer",32,"Business travel","Business",802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10,"neutral or dissatisfied"
"41",40,87447,"Female","disloyal Customer",42,"Business travel","Business",373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,"neutral or dissatisfied"
"42",41,16112,"Male","disloyal Customer",24,"Business travel","Eco",725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4,"satisfied"
"43",42,16172,"Male","Loyal Customer",22,"Business travel","Business",277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177,"neutral or dissatisfied"
"46",45,47773,"Female","Loyal Customer",62,"Business travel","Eco",550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90,"satisfied"
